sid,qid,block,query,ev_place,dom
S00485,Q07,산업,톨루엔 누출,여수시,domestic
S00487,Q05,산업,화학공장 폭발,여수시,domestic
S00489,Q23,비CBRN,드론 공격,호르무즈 해협,foreign_by_text
S00491,Q19,안보,노비촉,러시아,foreign
S00492,Q04,산업,황산 유출 사고,제주시 용담동,domestic
S00493,Q24,비CBRN,총기 난사,텍사스 앨런,foreign_by_text
S00496,Q21,비CBRN,폭발물 테러,서울 중구,domestic
S00501,Q28,비CBRN,다중이용시설 테러,부산,domestic
S00503,Q26,비CBRN,폭발물 협박,서울 구로구,domestic
S00504,Q07,산업,톨루엔 누출,여수시,domestic
S00506,Q22,비CBRN,사제폭탄,광주,domestic
S00508,Q23,비CBRN,드론 공격,오데사,foreign
S00509,Q03,산업,염소 가스 누출,인천 서구 석남동,domestic
S00510,Q09,산업,유독가스 누출 대피,화성시,domestic
S00513,Q04,산업,황산 유출 사고,정읍시,domestic
S00514,Q26,비CBRN,폭발물 협박,서울 중구,domestic
S00521,Q02,산업,암모니아 누출 사고,오산시 부산동,domestic
S00527,Q16,안보,방사능 유출,이란,foreign
S00528,Q08,산업,질산 누출,안동시 임동면,domestic
S00531,Q29,비CBRN,공항 폭발물 신고,시카고,foreign_by_text
S00534,Q04,산업,황산 유출 사고,군산시 오식도동,domestic
S00535,Q29,비CBRN,공항 폭발물 신고,제주공항,domestic
S00536,Q29,비CBRN,공항 폭발물 신고,블라디보스토크,foreign_by_text
S00537,Q01,산업,불산 누출,군산시 오식도동,domestic
S00539,Q02,산업,암모니아 누출 사고,울산 남구,domestic
S00547,Q27,비CBRN,테러 예고 글,인천 연수구,domestic
S00549,Q08,산업,질산 누출,군산시,domestic
S00550,Q24,비CBRN,총기 난사,농부아람푸,foreign_by_text
S00552,Q08,산업,질산 누출,전주시,domestic
S00553,Q26,비CBRN,폭발물 협박,서울 영등포구,domestic
S00554,Q26,비CBRN,폭발물 협박,서울,domestic
S00557,Q01,산업,불산 누출,군산시 소룡동,domestic
S00559,Q29,비CBRN,공항 폭발물 신고,,unknown
S00561,Q25,비CBRN,차량 돌진 테러,성남시 분당구,domestic
S00565,Q25,비CBRN,차량 돌진 테러,성남시 분당구,domestic
S00567,Q25,비CBRN,차량 돌진 테러,독일,foreign
S00575,Q29,비CBRN,공항 폭발물 신고,시카고,foreign_by_text
S00576,Q26,비CBRN,폭발물 협박,하남시,domestic
S00578,Q09,산업,유독가스 누출 대피,청주시,domestic
S00584,Q04,산업,황산 유출 사고,서천군,domestic
S00585,Q03,산업,염소 가스 누출,강릉시,domestic
S00590,Q02,산업,암모니아 누출 사고,여수시,domestic
S00591,Q29,비CBRN,공항 폭발물 신고,인도,foreign
S00593,Q04,산업,황산 유출 사고,여수시,domestic
S00601,Q26,비CBRN,폭발물 협박,안동시,domestic
S00613,Q08,산업,질산 누출,수원시,domestic
S00618,Q15,안보,북한 핵실험,동해,foreign_by_text
S00619,Q01,산업,불산 누출,화성시,domestic
S00623,Q29,비CBRN,공항 폭발물 신고,인천시,domestic
S00625,Q16,안보,방사능 유출,우크라이나 키예프,foreign
S00628,Q04,산업,황산 유출 사고,여수시,domestic
S00629,Q03,산업,염소 가스 누출,수원시,domestic
S00632,Q24,비CBRN,총기 난사,미국 체서피크,foreign
S00637,Q08,산업,질산 누출,제주시 한림읍,domestic
S00640,Q08,산업,질산 누출,군산시,domestic
S00647,Q21,비CBRN,폭발물 테러,일본 와카야마,foreign
S00652,Q22,비CBRN,사제폭탄,광주시 서구,domestic
S00654,Q08,산업,질산 누출,인천시 동구,domestic
S00659,Q03,산업,염소 가스 누출,의정부시,domestic
S00660,Q05,산업,화학공장 폭발,화성시,domestic
S00664,Q21,비CBRN,폭발물 테러,모나코,foreign_by_text
S00666,Q24,비CBRN,총기 난사,미국 미시간,foreign
S00668,Q27,비CBRN,테러 예고 글,서울시,domestic
S00670,Q05,산업,화학공장 폭발,여수시,domestic
S00671,Q02,산업,암모니아 누출 사고,부천시,domestic
S00674,Q27,비CBRN,테러 예고 글,서울시 관악구,domestic
S00679,Q08,산업,질산 누출,인천시 동구,domestic
S00681,Q09,산업,유독가스 누출 대피,청주시,domestic
S00682,Q26,비CBRN,폭발물 협박,서울시,domestic
S00684,Q09,산업,유독가스 누출 대피,인천시 미추홀구,domestic
S00686,Q01,산업,불산 누출,대전시 유성구,domestic
S00694,Q21,비CBRN,폭발물 테러,용인시,domestic
S00695,Q29,비CBRN,공항 폭발물 신고,광주시 남구,domestic
S00696,Q08,산업,질산 누출,여수시,domestic
S00698,Q01,산업,불산 누출,포항시,domestic
S00702,Q02,산업,암모니아 누출 사고,서울시 영등포구,domestic
S00705,Q26,비CBRN,폭발물 협박,평창군,domestic
S00714,Q03,산업,염소 가스 누출,수원시 영통구,domestic
S00717,Q22,비CBRN,사제폭탄,미국 펜실베이니아,foreign
S00720,Q26,비CBRN,폭발물 협박,서울시,domestic
S00721,Q25,비CBRN,차량 돌진 테러,멕시코 할리스코주,foreign
S00724,Q29,비CBRN,공항 폭발물 신고,미국 시카고,foreign
S00725,Q26,비CBRN,폭발물 협박,청주시,domestic
S00727,Q02,산업,암모니아 누출 사고,대전시,domestic
S00729,Q03,산업,염소 가스 누출,인천시,domestic
S00731,Q04,산업,황산 유출 사고,부산시 사상구,domestic
S00732,Q26,비CBRN,폭발물 협박,서울시 종로구,domestic
S00733,Q06,산업,유해화학물질 유출,대구시 서구,domestic
S00736,Q02,산업,암모니아 누출 사고,서울시 영등포구,domestic
S00737,Q26,비CBRN,폭발물 협박,러시아 블라디보스토크,foreign
S00744,Q07,산업,톨루엔 누출,여수시,domestic
S00746,Q02,산업,암모니아 누출 사고,오산시,domestic
S00750,Q30,비CBRN,원전 방사선 피폭,우크라이나 자포리자,foreign
S00751,Q29,비CBRN,공항 폭발물 신고,서울시 중구,domestic
S00754,Q25,비CBRN,차량 돌진 테러,미국 뉴올리언스,foreign
S00755,Q02,산업,암모니아 누출 사고,부산시 사하구,domestic
S00757,Q30,비CBRN,원전 방사선 피폭,일본 후쿠시마,foreign
S00773,Q05,산업,화학공장 폭발,군산시,domestic
S00774,Q27,비CBRN,테러 예고 글,고양시,domestic
S00776,Q04,산업,황산 유출 사고,함안군,domestic
S00777,Q24,비CBRN,총기 난사,러시아 다게스탄,foreign
S00784,Q22,비CBRN,사제폭탄,서울시 서대문구,domestic
S00791,Q02,산업,암모니아 누출 사고,부천시 도당동,domestic
S00797,Q01,산업,불산 누출,군산시,domestic
S00801,Q02,산업,암모니아 누출 사고,울산시 남구,domestic
S00806,Q04,산업,황산 유출 사고,창원시,domestic
S00807,Q24,비CBRN,총기 난사,미국 플로리다,foreign
S00810,Q04,산업,황산 유출 사고,포항시 북구,domestic
S00813,Q29,비CBRN,공항 폭발물 신고,인천시,domestic
S00825,Q24,비CBRN,총기 난사,세르비아 베오그라드,unknown
S00827,Q05,산업,화학공장 폭발,여수시,domestic
S00828,Q29,비CBRN,공항 폭발물 신고,러시아 모스크바,foreign
S00829,Q04,산업,황산 유출 사고,포항시 북구,domestic
S00831,Q04,산업,황산 유출 사고,창원시,domestic
S00833,Q04,산업,황산 유출 사고,창원시 의창구,domestic
S00835,Q22,비CBRN,사제폭탄,서울시 노원구,domestic
S00837,Q16,안보,방사능 유출,우크라이나 자포리자,foreign
S00839,Q01,산업,불산 누출,포항시,domestic
S00843,Q07,산업,톨루엔 누출,오산시,domestic
S00848,Q07,산업,톨루엔 누출,오산시,domestic
S00850,Q25,비CBRN,차량 돌진 테러,미국 뉴올리언스,foreign
S00853,Q03,산업,염소 가스 누출,의정부시,domestic
S00859,Q25,비CBRN,차량 돌진 테러,독일 마그데부르크,foreign
S00862,Q22,비CBRN,사제폭탄,광주시 서구,domestic
S00871,Q22,비CBRN,사제폭탄,,unknown
S00878,Q23,비CBRN,드론 공격,홍해,foreign_by_text
S00880,Q19,안보,노비촉,러시아 야말로네네츠,foreign
S00884,Q16,안보,방사능 유출,우크라이나 자포리자,foreign
S00885,Q19,안보,노비촉,우크라이나,foreign
S00886,Q24,비CBRN,총기 난사,미국 시애틀,foreign
S00889,Q02,산업,암모니아 누출 사고,울산시 남구,domestic
S00890,Q25,비CBRN,차량 돌진 테러,미국 워키쇼,foreign
S00891,Q01,산업,불산 누출,포항시 남구,domestic
S00893,Q30,비CBRN,원전 방사선 피폭,우크라이나 체르노빌,foreign
S00894,Q25,비CBRN,차량 돌진 테러,파키스탄 카라치,foreign
S00895,Q28,비CBRN,다중이용시설 테러,,unknown
S00897,Q08,산업,질산 누출,군산시,domestic
S00900,Q02,산업,암모니아 누출 사고,서울 영등포구,domestic
S00901,Q26,비CBRN,폭발물 협박,미국 뉴레녹스,foreign
S00905,Q09,산업,유독가스 누출 대피,김포시 하성면,domestic
S00906,Q29,비CBRN,공항 폭발물 신고,인천공항,domestic
S00914,Q27,비CBRN,테러 예고 글,,unknown
S00916,Q07,산업,톨루엔 누출,울주군 온산읍,domestic
S00918,Q27,비CBRN,테러 예고 글,,unknown
S00923,Q04,산업,황산 유출 사고,대구 서구 비산동,domestic
S00926,Q03,산업,염소 가스 누출,화성시,domestic
S00927,Q29,비CBRN,공항 폭발물 신고,제주시,domestic
S00928,Q09,산업,유독가스 누출 대피,여수시,domestic
S00930,Q07,산업,톨루엔 누출,오산시 누읍동,domestic
S00937,Q29,비CBRN,공항 폭발물 신고,일본 주부공항,foreign
S00942,Q09,산업,유독가스 누출 대피,서천군,domestic
S00947,Q23,비CBRN,드론 공격,쿠웨이트,foreign
S00949,Q22,비CBRN,사제폭탄,,unknown
S00952,Q29,비CBRN,공항 폭발물 신고,,unknown
S00954,Q04,산업,황산 유출 사고,포항시 북구 흥해읍,domestic
S00956,Q16,안보,방사능 유출,영광군 한빛원전,domestic
S00960,Q09,산업,유독가스 누출 대피,대전 유성구,domestic
S00963,Q23,비CBRN,드론 공격,이란 이스파한주,foreign
S00965,Q09,산업,유독가스 누출 대피,서천군,domestic
S00970,Q25,비CBRN,차량 돌진 테러,성남시 분당구,domestic
S00971,Q04,산업,황산 유출 사고,서울 성동구 행당동,domestic
S00972,Q29,비CBRN,공항 폭발물 신고,,unknown
S00973,Q27,비CBRN,테러 예고 글,,unknown
S00976,Q04,산업,황산 유출 사고,창원시 의창구,domestic
S00978,Q25,비CBRN,차량 돌진 테러,미국 뉴올리언스,foreign
S00981,Q22,비CBRN,사제폭탄,광주 동구 지산동,domestic
S00984,Q09,산업,유독가스 누출 대피,청주시 흥덕구,domestic
S00991,Q25,비CBRN,차량 돌진 테러,성남시 분당구,domestic
S00992,Q25,비CBRN,차량 돌진 테러,미국 뉴올리언스,foreign
S00993,Q22,비CBRN,사제폭탄,,unknown
S00996,Q22,비CBRN,사제폭탄,서울 노원구,domestic
S00999,Q01,산업,불산 누출,화성시,domestic
S01003,Q21,비CBRN,폭발물 테러,일본 와카야마,foreign
S01004,Q11,안보,화학무기 사용,우크라이나 루한스크주,foreign
S01010,Q15,안보,북한 핵실험,북한 평양 순안,foreign
S01013,Q24,비CBRN,총기 난사,미국 유밸디카운티,foreign
S01016,Q22,비CBRN,사제폭탄,일본 와카야마,foreign
S01017,Q08,산업,질산 누출,당진시 송악읍,domestic
S01018,Q27,비CBRN,테러 예고 글,성남시 분당구,domestic
S01019,Q25,비CBRN,차량 돌진 테러,미국 샌디에이고,foreign
S01027,Q04,산업,황산 유출 사고,정읍시 북면,domestic
S01028,Q29,비CBRN,공항 폭발물 신고,제주시,domestic
S01031,Q09,산업,유독가스 누출 대피,청주시 흥덕구,domestic
S01034,Q29,비CBRN,공항 폭발물 신고,인천시,domestic
S01036,Q21,비CBRN,폭발물 테러,미국 올버니,foreign
S01038,Q21,비CBRN,폭발물 테러,울산시,domestic
S01039,Q24,비CBRN,총기 난사,미국 텍사스주,foreign
S01043,Q28,비CBRN,다중이용시설 테러,,unknown
S01045,Q04,산업,황산 유출 사고,창원시 의창구,domestic
S01049,Q29,비CBRN,공항 폭발물 신고,인천시,domestic
S01050,Q11,안보,화학무기 사용,우크라이나 야보리우,foreign
S01051,Q26,비CBRN,폭발물 협박,우크라이나 테르노필,foreign
S01057,Q25,비CBRN,차량 돌진 테러,독일 마그데부르크,foreign
S01058,Q26,비CBRN,폭발물 협박,인천시,domestic
S01060,Q24,비CBRN,총기 난사,미국 라구나우즈,foreign
S01063,Q08,산업,질산 누출,포항시 남구,domestic
S01070,Q27,비CBRN,테러 예고 글,,unknown
S01077,Q01,산업,불산 누출,포항시 남구,domestic
S01081,Q22,비CBRN,사제폭탄,,unknown
S01082,Q26,비CBRN,폭발물 협박,광주 서구,domestic
S01089,Q29,비CBRN,공항 폭발물 신고,광주시,domestic
S01091,Q23,비CBRN,드론 공격,이스라엘,foreign
S01094,Q22,비CBRN,사제폭탄,미국 뉴올리언스,foreign
S01095,Q04,산업,황산 유출 사고,창원시 의창구,domestic
S01096,Q12,안보,사린가스 공격,일본 도쿄 주오구,foreign
S01098,Q09,산업,유독가스 누출 대피,,foreign_by_text
S01099,Q05,산업,화학공장 폭발,중국 인촨시,foreign
S01104,Q02,산업,암모니아 누출 사고,오산시,domestic
S01106,Q09,산업,유독가스 누출 대피,청주시 서원구,domestic
S01110,Q21,비CBRN,폭발물 테러,,foreign_by_text
S01111,Q15,안보,북한 핵실험,북한 동해,foreign
S01112,Q09,산업,유독가스 누출 대피,청주시 서원구,domestic
S01113,Q22,비CBRN,사제폭탄,,unknown
S01116,Q25,비CBRN,차량 돌진 테러,미국 뉴올리언스,foreign
S01125,Q04,산업,황산 유출 사고,대구 서구 비산동,domestic
S01126,Q25,비CBRN,차량 돌진 테러,독일 만하임,foreign
S01128,Q24,비CBRN,총기 난사,미국 버지니아주,foreign
S01129,Q02,산업,암모니아 누출 사고,부천시 도당동,domestic
S01130,Q05,산업,화학공장 폭발,영천시 금호읍,domestic
S01134,Q21,비CBRN,폭발물 테러,미국 나이아가라폭포,foreign
S01137,Q09,산업,유독가스 누출 대피,부산 부산진구,domestic
S01144,Q01,산업,불산 누출,포항시 남구,domestic
S01150,Q22,비CBRN,사제폭탄,미국 펜실베이니아주,foreign
S01155,Q21,비CBRN,폭발물 테러,미국 뉴욕,foreign
S01157,Q05,산업,화학공장 폭발,여수시,domestic
S01159,Q21,비CBRN,폭발물 테러,미국 뉴올리언스,foreign
S01160,Q05,산업,화학공장 폭발,여수시,domestic
S01161,Q02,산업,암모니아 누출 사고,함안군 칠서면,domestic
S01162,Q26,비CBRN,폭발물 협박,안성시,domestic
S01163,Q27,비CBRN,테러 예고 글,성남시 분당구,domestic
S01164,Q16,안보,방사능 유출,아부다비,foreign_by_text
S01177,Q22,비CBRN,사제폭탄,광주 서구 치평동,domestic
S01178,Q29,비CBRN,공항 폭발물 신고,포트로더데일,foreign_by_text
S01180,Q10,산업,화학사고 대응,음성군 대소면,domestic
S01181,Q27,비CBRN,테러 예고 글,대구시,domestic
S01186,Q27,비CBRN,테러 예고 글,성남시 분당구,domestic
S01187,Q16,안보,방사능 유출,영광군,domestic
S01190,Q09,산업,유독가스 누출 대피,청주시,domestic
S01198,Q09,산업,유독가스 누출 대피,서울 강동구 암사동,domestic
S01199,Q03,산업,염소 가스 누출,수원시 영통구,domestic
S01202,Q03,산업,염소 가스 누출,인천 서구 석남동,domestic
S01206,Q19,안보,노비촉,러시아,foreign
S01212,Q27,비CBRN,테러 예고 글,서울시,domestic
S01214,Q11,안보,화학무기 사용,마리우폴,foreign_by_text
S01217,Q29,비CBRN,공항 폭발물 신고,인천공항,domestic
S01218,Q24,비CBRN,총기 난사,비야에르모사,foreign_by_text
S01220,Q03,산업,염소 가스 누출,수원시 영통구,domestic
S01221,Q26,비CBRN,폭발물 협박,수원시,domestic
S01224,Q21,비CBRN,폭발물 테러,중국,foreign
S01227,Q02,산업,암모니아 누출 사고,서울 영등포구 양평동,domestic
S01234,Q21,비CBRN,폭발물 테러,서울시,domestic
S01235,Q05,산업,화학공장 폭발,여수시 화치동,domestic
S01236,Q25,비CBRN,차량 돌진 테러,나이아가라,foreign_by_text
S01237,Q27,비CBRN,테러 예고 글,,unknown
S01239,Q25,비CBRN,차량 돌진 테러,뉴올리언스,foreign
S01241,Q19,안보,노비촉,베오그라드,foreign_by_text
S01246,Q21,비CBRN,폭발물 테러,프랑스,foreign
S01247,Q08,산업,질산 누출,전주시 덕진구,domestic
S01248,Q26,비CBRN,폭발물 협박,파리,foreign
S01257,Q05,산업,화학공장 폭발,화성시 서신면,domestic
S01258,Q08,산업,질산 누출,인천시,domestic
S01262,Q29,비CBRN,공항 폭발물 신고,제주시,domestic
S01263,Q24,비CBRN,총기 난사,시드니,foreign_by_text
S01264,Q03,산업,염소 가스 누출,서울 성동구 성수동,domestic
S01269,Q01,산업,불산 누출,항저우,foreign_by_text
S01270,Q10,산업,화학사고 대응,음성군 대소면,domestic
S01275,Q21,비CBRN,폭발물 테러,서울 중구,domestic
S01276,Q29,비CBRN,공항 폭발물 신고,인천시,domestic
S01278,Q04,산업,황산 유출 사고,제주시 영평동,domestic
S01279,Q05,산업,화학공장 폭발,안드라프라데시,domestic
S01287,Q29,비CBRN,공항 폭발물 신고,인천시,domestic
S01292,Q03,산업,염소 가스 누출,대구 달성군 논공읍,domestic
S01294,Q26,비CBRN,폭발물 협박,광주시,domestic
S01299,Q27,비CBRN,테러 예고 글,,unknown
S01300,Q22,비CBRN,사제폭탄,서울 양천구,domestic
S01309,Q01,산업,불산 누출,포항시,domestic
S01310,Q26,비CBRN,폭발물 협박,서울시,domestic
S01312,Q29,비CBRN,공항 폭발물 신고,제주시,domestic
S01313,Q19,안보,노비촉,베를린,foreign_by_text
S01317,Q07,산업,톨루엔 누출,여수시,domestic
S01321,Q29,비CBRN,공항 폭발물 신고,메노르카,foreign_by_text
S01322,Q25,비CBRN,차량 돌진 테러,리버풀,unknown
S01323,Q25,비CBRN,차량 돌진 테러,마그데부르크,foreign_by_text
S01325,Q25,비CBRN,차량 돌진 테러,베를린,foreign_by_text
S01346,Q04,산업,황산 유출 사고,포항시 북구 흥해읍,domestic
S01353,Q24,비CBRN,총기 난사,텍사스주 앨런,foreign_by_text
S01354,Q09,산업,유독가스 누출 대피,대전 중구 복수동,domestic
S01355,Q26,비CBRN,폭발물 협박,평창군,domestic
S01356,Q05,산업,화학공장 폭발,여수시 화치동,domestic
S01360,Q09,산업,유독가스 누출 대피,서천군,domestic
S01361,Q05,산업,화학공장 폭발,화성시 서신면,domestic
S01362,Q04,산업,황산 유출 사고,영광군,domestic
S01363,Q14,안보,탄저균 테러,제주시 조천읍,domestic
S01365,Q01,산업,불산 누출,청주시,domestic
S01366,Q29,비CBRN,공항 폭발물 신고,울산시,domestic
S01368,Q07,산업,톨루엔 누출,오산시 누읍동,domestic
S01369,Q09,산업,유독가스 누출 대피,부산 사하구 신평동,domestic
S01371,Q25,비CBRN,차량 돌진 테러,성남시 분당구,domestic
S01372,Q24,비CBRN,총기 난사,베오그라드,unknown
S01377,Q08,산업,질산 누출,안동시 임동면,domestic
S01380,Q24,비CBRN,총기 난사,다게스탄 데르벤트,foreign
S01383,Q07,산업,톨루엔 누출,오산시 누읍동,domestic
S01388,Q21,비CBRN,폭발물 테러,서울시,domestic
S01395,Q19,안보,노비촉,러시아 하르프,foreign
S01398,Q22,비CBRN,사제폭탄,전주시,domestic
S01404,Q05,산업,화학공장 폭발,여수시,domestic
S01405,Q19,안보,노비촉,러시아 야말로네네츠,foreign
S01407,Q09,산업,유독가스 누출 대피,김포시 하성면,domestic
S01408,Q24,비CBRN,총기 난사,메인주,foreign_by_text
S01410,Q24,비CBRN,총기 난사,미니애폴리스,foreign_by_text
S01414,Q02,산업,암모니아 누출 사고,고령군 다산면,domestic
S01416,Q26,비CBRN,폭발물 협박,서울 송파구,domestic
S01418,Q04,산업,황산 유출 사고,창원시 마산,domestic
S01423,Q25,비CBRN,차량 돌진 테러,베를린,foreign_by_text
S01425,Q22,비CBRN,사제폭탄,광주 서구 치평동,domestic
S01428,Q19,안보,노비촉,러시아,foreign
S01429,Q05,산업,화학공장 폭발,산둥성 가오미시,domestic
S01432,Q02,산업,암모니아 누출 사고,김포시 하성면,domestic
S01439,Q02,산업,암모니아 누출 사고,울산 남구 야음동,domestic
S01442,Q04,산업,황산 유출 사고,포항시 북구 흥해읍,domestic
S01444,Q08,산업,질산 누출,안동시 임동면,domestic
S01445,Q16,안보,방사능 유출,후쿠시마현,foreign
S01456,Q08,산업,질산 누출,완주군 봉동읍,domestic
S01457,Q02,산업,암모니아 누출 사고,군산시,domestic
S01460,Q02,산업,암모니아 누출 사고,서울 영등포구,domestic
S01461,Q03,산업,염소 가스 누출,화성시 서신면,domestic
S01467,Q21,비CBRN,폭발물 테러,러시아 모스크바,foreign
S01473,Q27,비CBRN,테러 예고 글,서울 강동구,domestic
S01474,Q08,산업,질산 누출,수원시 장안구,domestic
S01475,Q21,비CBRN,폭발물 테러,발트해,foreign_by_text
S01479,Q24,비CBRN,총기 난사,팔레스타인 서안지구,foreign
S01483,Q08,산업,질산 누출,포항시,domestic
S01484,Q23,비CBRN,드론 공격,이라크 시리아,foreign
S01485,Q22,비CBRN,사제폭탄,전주시,domestic
S01489,Q23,비CBRN,드론 공격,페르시아만,foreign_by_text
S01491,Q05,산업,화학공장 폭발,화성시 서신면,domestic
S01492,Q16,안보,방사능 유출,이란,foreign
S01494,Q03,산업,염소 가스 누출,인천 서구 백석동,domestic
S01501,Q04,산업,황산 유출 사고,포항시 북구 흥해읍,domestic
S01503,Q08,산업,질산 누출,안동시 임동면,domestic
S01510,Q25,비CBRN,차량 돌진 테러,미국 뉴올리언스,foreign
S01511,Q15,안보,북한 핵실험,제주시,domestic
S01512,Q20,안보,북한 생화학무기,서울,domestic
S01514,Q27,비CBRN,테러 예고 글,김해공항,unknown
S01517,Q05,산업,화학공장 폭발,화성시 서신면,domestic
S01519,Q08,산업,질산 누출,포항시,domestic
S01520,Q05,산업,화학공장 폭발,중국 랴오닝,foreign
S01522,Q21,비CBRN,폭발물 테러,파키스탄 발루치스탄,foreign
S01530,Q24,비CBRN,총기 난사,미국 노퍽,foreign
S01531,Q29,비CBRN,공항 폭발물 신고,인천국제공항,domestic
S01532,Q22,비CBRN,사제폭탄,춘천시,domestic
S01535,Q07,산업,톨루엔 누출,울주군 온산읍,domestic
S01536,Q27,비CBRN,테러 예고 글,대구국제공항,domestic
S01539,Q14,안보,탄저균 테러,제주시 오라동,domestic
S01541,Q26,비CBRN,폭발물 협박,인천 강화군,domestic
S01543,Q21,비CBRN,폭발물 테러,러시아 모스크바,foreign
S01544,Q26,비CBRN,폭발물 협박,서울 역삼동,domestic
S01545,Q09,산업,유독가스 누출 대피,부산 사상구 학장동,domestic
S01551,Q26,비CBRN,폭발물 협박,서울 중구,domestic
S01553,Q27,비CBRN,테러 예고 글,서울,domestic
S01555,Q04,산업,황산 유출 사고,서울 성동구,domestic
S01558,Q08,산업,질산 누출,포항시,domestic
S01560,Q07,산업,톨루엔 누출,여수시,domestic
S01567,Q24,비CBRN,총기 난사,멕시코,foreign
S01568,Q21,비CBRN,폭발물 테러,경기도,domestic
S01573,Q03,산업,염소 가스 누출,의정부시 가능동,domestic
S01574,Q16,안보,방사능 유출,이란 포르도,foreign
S01575,Q08,산업,질산 누출,안동시 임동면,domestic
S01581,Q04,산업,황산 유출 사고,봉화군 석포면,domestic
S01583,Q21,비CBRN,폭발물 테러,하남시,domestic
S01585,Q24,비CBRN,총기 난사,미국 루이스턴,foreign
S01588,Q01,산업,불산 누출,화성시 서신면,domestic
S01596,Q26,비CBRN,폭발물 협박,경기 광주시,domestic
S01601,Q07,산업,톨루엔 누출,여수시,domestic
S01602,Q04,산업,황산 유출 사고,포항시 북구 흥해읍,domestic
S01606,Q04,산업,황산 유출 사고,여수시,domestic
S01611,Q27,비CBRN,테러 예고 글,서울 강남역,domestic
S01612,Q02,산업,암모니아 누출 사고,부산 사하구 장림동,domestic
S01617,Q25,비CBRN,차량 돌진 테러,독일 바이에른,foreign
S01620,Q08,산업,질산 누출,공주시 검상동,domestic
S01623,Q11,안보,화학무기 사용,우크라이나 마리우폴,foreign
S01630,Q08,산업,질산 누출,포항시,domestic
S01632,Q02,산업,암모니아 누출 사고,미국 일리노이주,foreign
S01636,Q07,산업,톨루엔 누출,울주군 온산읍,domestic
S01637,Q22,비CBRN,사제폭탄,온라인,unknown
S01639,Q27,비CBRN,테러 예고 글,김해공항,unknown
S01640,Q29,비CBRN,공항 폭발물 신고,전국,domestic
S01642,Q27,비CBRN,테러 예고 글,광주시,domestic
S01644,Q08,산업,질산 누출,포항시,domestic
S01646,Q02,산업,암모니아 누출 사고,오산시 부산동,domestic
S01647,Q07,산업,톨루엔 누출,오산시 누읍동,domestic
S01662,Q21,비CBRN,폭발물 테러,서울,domestic
S01665,Q25,비CBRN,차량 돌진 테러,미국 뉴올리언스,foreign
S01666,Q27,비CBRN,테러 예고 글,서울 강동구,domestic
S01667,Q04,산업,황산 유출 사고,여수시,domestic
S01668,Q23,비CBRN,드론 공격,우크라이나 키이우,foreign
S01669,Q08,산업,질산 누출,제주시 영평동,domestic
S01671,Q25,비CBRN,차량 돌진 테러,미국 뉴올리언스,foreign
S01681,Q21,비CBRN,폭발물 테러,러시아 모스크바,foreign
S01682,Q27,비CBRN,테러 예고 글,인천 연수구,domestic
S01685,Q08,산업,질산 누출,포항시,domestic
S01689,Q08,산업,질산 누출,포항시,domestic
S01696,Q04,산업,황산 유출 사고,포항시 북구 흥해읍,domestic
S01697,Q24,비CBRN,총기 난사,미국 미니애폴리스,foreign
S01698,Q08,산업,질산 누출,군산시 소룡동,domestic
S01699,Q24,비CBRN,총기 난사,미국 로스앤젤레스,foreign
S01700,Q11,안보,화학무기 사용,우크라이나 포파스나,foreign
S01709,Q19,안보,노비촉,러시아,foreign
S01711,Q27,비CBRN,테러 예고 글,서울,domestic
S01715,Q29,비CBRN,공항 폭발물 신고,서울,domestic
S01721,Q20,안보,북한 생화학무기,경기도,domestic
S01723,Q09,산업,유독가스 누출 대피,인천 미추홀구 도화동,domestic
S01726,Q23,비CBRN,드론 공격,러시아 벨고로드주,foreign
S01728,Q16,안보,방사능 유출,우크라이나 체르노빌,foreign
S01730,Q29,비CBRN,공항 폭발물 신고,인천국제공항,domestic
S01731,Q03,산업,염소 가스 누출,의정부시 가능동,domestic
S01732,Q09,산업,유독가스 누출 대피,청주시,domestic
S01735,Q01,산업,불산 누출,군산시,domestic
S01737,Q27,비CBRN,테러 예고 글,서울 잠실,domestic
S01746,Q25,비CBRN,차량 돌진 테러,텔아비브,foreign
S01748,Q08,산업,질산 누출,제주시 한림읍,domestic
S01752,Q02,산업,암모니아 누출 사고,오산시 부산동,domestic
S01758,Q04,산업,황산 유출 사고,대구시 서구 비산동,domestic
S01759,Q26,비CBRN,폭발물 협박,성남시 분당구,domestic
S01761,Q17,안보,더티밤,이란 나탄즈,foreign
S01762,Q01,산업,불산 누출,군산시,domestic
S01764,Q02,산업,암모니아 누출 사고,군산시 서수면,domestic
S01770,Q02,산업,암모니아 누출 사고,서울 영등포구,domestic
S01771,Q05,산업,화학공장 폭발,여수시 화치동,domestic
S01772,Q04,산업,황산 유출 사고,서울 성동구 행당동,domestic
S01773,Q05,산업,화학공장 폭발,울산 남구,domestic
S01777,Q25,비CBRN,차량 돌진 테러,미국,foreign
S01778,Q07,산업,톨루엔 누출,울산 울주군 온산읍,domestic
S01783,Q06,산업,유해화학물질 유출,평택시 청북읍,domestic
S01789,Q08,산업,질산 누출,포항시,domestic
S01790,Q24,비CBRN,총기 난사,모스크바,foreign
S01792,Q04,산업,황산 유출 사고,봉화군 석포면,domestic
S01795,Q03,산업,염소 가스 누출,함평군,domestic
