sid,qid,block,query,ev_place,dom
S02513,Q19,안보,노비촉,러시아,foreign
S02518,Q24,비CBRN,총기 난사,캐나다 브리티시컬럼비아주,foreign
S02522,Q25,비CBRN,차량 돌진 테러,미국 뉴올리언스,foreign
S02524,Q29,비CBRN,공항 폭발물 신고,인천시,domestic
S02527,Q28,비CBRN,다중이용시설 테러,부산시,domestic
S02528,Q16,안보,방사능 유출,UAE 아부다비,foreign
S02534,Q05,산업,화학공장 폭발,인도 안드라프라데시주,foreign
S02537,Q26,비CBRN,폭발물 협박,성남시,domestic
S02539,Q01,산업,불산 누출,화성시,domestic
S02546,Q08,산업,질산 누출,군산시,domestic
S02548,Q09,산업,유독가스 누출 대피,청주시,domestic
S02551,Q16,안보,방사능 유출,,unknown
S02553,Q08,산업,질산 누출,완주군 봉동읍,domestic
S02555,Q25,비CBRN,차량 돌진 테러,이스라엘 텔아비브,foreign
S02556,Q24,비CBRN,총기 난사,체코 프라하,unknown
S02560,Q02,산업,암모니아 누출 사고,함안군 칠서면,domestic
S02561,Q01,산업,불산 누출,,unknown
S02562,Q12,안보,사린가스 공격,일본 도쿄,foreign
S02569,Q11,안보,화학무기 사용,우크라이나,foreign
S02573,Q26,비CBRN,폭발물 협박,서울시,domestic
S02576,Q04,산업,황산 유출 사고,창원시 의창구,domestic
S02578,Q25,비CBRN,차량 돌진 테러,미국 라스베이거스,foreign
S02579,Q08,산업,질산 누출,수원시,domestic
S02581,Q09,산업,유독가스 누출 대피,대전 유성구,domestic
S02583,Q03,산업,염소 가스 누출,함평군,domestic
S02585,Q02,산업,암모니아 누출 사고,울산 남구,domestic
S02586,Q07,산업,톨루엔 누출,오산시 누읍동,domestic
S02587,Q27,비CBRN,테러 예고 글,서울 용산구,domestic
S02589,Q08,산업,질산 누출,안동시 임동면,domestic
S02592,Q21,비CBRN,폭발물 테러,전국,domestic
S02595,Q04,산업,황산 유출 사고,포항시 북구 흥해읍,domestic
S02596,Q09,산업,유독가스 누출 대피,전주시 덕진구,domestic
S02597,Q25,비CBRN,차량 돌진 테러,미국 뉴저지주,foreign
S02598,Q21,비CBRN,폭발물 테러,러시아 칼리닌그라드,foreign
S02599,Q18,안보,백색가루 신고,대구 수성구,domestic
S02600,Q07,산업,톨루엔 누출,오산시 누읍동,domestic
S02602,Q16,안보,방사능 유출,이란 부셰르,foreign
S02604,Q21,비CBRN,폭발물 테러,미국 캘리포니아주,foreign
S02606,Q19,안보,노비촉,,foreign_by_text
S02612,Q28,비CBRN,다중이용시설 테러,김해시,domestic
S02614,Q29,비CBRN,공항 폭발물 신고,인천시,domestic
S02617,Q04,산업,황산 유출 사고,영광군,domestic
S02629,Q04,산업,황산 유출 사고,대구 서구,domestic
S02630,Q24,비CBRN,총기 난사,미국 텍사스주,foreign
S02636,Q05,산업,화학공장 폭발,여수시,domestic
S02637,Q01,산업,불산 누출,아산시 인주면,domestic
S02639,Q26,비CBRN,폭발물 협박,서울시,domestic
S02640,Q08,산업,질산 누출,제주시 한림읍,domestic
S02645,Q07,산업,톨루엔 누출,울주군 온산읍,domestic
S02646,Q22,비CBRN,사제폭탄,,unknown
S02650,Q04,산업,황산 유출 사고,대구 서구,domestic
S02653,Q16,안보,방사능 유출,우크라이나 자포리자,foreign
S02654,Q27,비CBRN,테러 예고 글,서울시,domestic
S02655,Q08,산업,질산 누출,포항시 남구,domestic
S02657,Q21,비CBRN,폭발물 테러,러시아 크림대교,foreign
S02662,Q05,산업,화학공장 폭발,영천시 금호읍,domestic
S02663,Q27,비CBRN,테러 예고 글,제주시,domestic
S02664,Q01,산업,불산 누출,군산시,domestic
S02665,Q19,안보,노비촉,,foreign_by_text
S02668,Q26,비CBRN,폭발물 협박,수원시 영통구,domestic
S02673,Q02,산업,암모니아 누출 사고,부천시 도당동,domestic
S02674,Q02,산업,암모니아 누출 사고,부산 사하구,domestic
S02678,Q02,산업,암모니아 누출 사고,서울 영등포구,domestic
S02683,Q23,비CBRN,드론 공격,요르단,foreign
S02684,Q25,비CBRN,차량 돌진 테러,미국 뉴올리언스,foreign
S02693,Q01,산업,불산 누출,인천시,domestic
S02706,Q09,산업,유독가스 누출 대피,화성시,domestic
S02712,Q04,산업,황산 유출 사고,창원시 의창구,domestic
S02722,Q01,산업,불산 누출,포항시 남구,domestic
S02723,Q24,비CBRN,총기 난사,미국 워싱턴주 야키마,foreign
S02724,Q04,산업,황산 유출 사고,,unknown
S02736,Q08,산업,질산 누출,포항시 남구,domestic
S02737,Q07,산업,톨루엔 누출,여수시,domestic
S02741,Q07,산업,톨루엔 누출,울주군 온산읍,domestic
S02742,Q21,비CBRN,폭발물 테러,대구시,domestic
S02744,Q04,산업,황산 유출 사고,포항시 북구 흥해읍,domestic
S02745,Q05,산업,화학공장 폭발,여수시 화치동,domestic
S02750,Q05,산업,화학공장 폭발,화성시 서신면,domestic
S02752,Q01,산업,불산 누출,포항시 남구,domestic
S02753,Q16,안보,방사능 유출,이란 부셰르,foreign
S02756,Q23,비CBRN,드론 공격,우크라이나,foreign
S02760,Q01,산업,불산 누출,군산시,domestic
S02762,Q29,비CBRN,공항 폭발물 신고,인천시,domestic
S02763,Q04,산업,황산 유출 사고,대구 달성군 논공읍,domestic
S02764,Q21,비CBRN,폭발물 테러,러시아 상트페테르부르크,foreign
S02765,Q18,안보,백색가루 신고,미국 필라델피아,foreign
S02771,Q16,안보,방사능 유출,우크라이나 자포리자,foreign
S02774,Q09,산업,유독가스 누출 대피,청주시,domestic
S02775,Q17,안보,더티밤,이란 나탄즈,foreign
S02778,Q16,안보,방사능 유출,프랑스 지롱드,foreign
S02781,Q29,비CBRN,공항 폭발물 신고,광주시,domestic
S02786,Q24,비CBRN,총기 난사,미국 필라델피아,foreign
S02788,Q09,산업,유독가스 누출 대피,수원시,domestic
S02789,Q19,안보,노비촉,러시아,foreign
S02791,Q07,산업,톨루엔 누출,여수시,domestic
S02795,Q06,산업,유해화학물질 유출,봉화군 석포면,domestic
S02798,Q22,비CBRN,사제폭탄,러시아 모스크바,foreign
S02799,Q21,비CBRN,폭발물 테러,레바논 베이루트,foreign
S02801,Q22,비CBRN,사제폭탄,,unknown
S02803,Q26,비CBRN,폭발물 협박,인천시,domestic
S02804,Q02,산업,암모니아 누출 사고,부산 사하구,domestic
S02807,Q26,비CBRN,폭발물 협박,,unknown
S02811,Q21,비CBRN,폭발물 테러,호주 시드니,foreign
S02819,Q05,산업,화학공장 폭발,화성시 서신면,domestic
S02823,Q22,비CBRN,사제폭탄,,unknown
S02826,Q29,비CBRN,공항 폭발물 신고,대구시,domestic
S02828,Q19,안보,노비촉,러시아 야말로네네츠,foreign
S02829,Q02,산업,암모니아 누출 사고,서울 영등포구,domestic
S02831,Q25,비CBRN,차량 돌진 테러,독일,foreign
S02837,Q26,비CBRN,폭발물 협박,서울시,domestic
S02859,Q05,산업,화학공장 폭발,여수시 화치동,domestic
S02860,Q23,비CBRN,드론 공격,이스라엘,foreign
S02862,Q24,비CBRN,총기 난사,태국 농부아람푸주,foreign
