seed,fold,model,acc,macro_f1,event_f1,event_prec,event_rec
1,4,proposed@안보,0.7272727272727273,0.6407012807523446,0.6111111111111112,,
1,4,proposed@비CBRN,0.7157360406091371,0.6635781104262228,0.8461538461538461,,
1,4,abl_char_title,0.7155322862129145,0.6605122483362843,0.83008356545961,0.8563218390804598,0.8054054054054054
1,4,abl_word_tb,0.7399650959860384,0.6703232991193309,0.8556149732620321,0.8465608465608465,0.8648648648648649
1,4,abl_char_tb_bk,0.7626527050610821,0.710954118035193,0.8586956521739131,0.8633879781420765,0.8540540540540541
2,0,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
2,0,base_random,0.20209059233449478,0.18438095201091845,0.25161290322580643,0.30952380952380953,0.21195652173913043
2,0,base_keyword,0.30662020905923343,0.16427057726540645,0.4787234042553192,0.46875,0.4891304347826087
2,0,proposed_char_tb,0.7735191637630662,0.7192214676605487,0.8608923884514436,0.8324873096446701,0.8913043478260869
2,0,proposed@산업,0.82,0.6595018892579867,0.8994708994708994,,
2,0,proposed@안보,0.7556818181818182,0.7554892322097377,0.75,,
2,0,proposed@비CBRN,0.7424242424242424,0.6752045351033987,0.8421052631578947,,
2,0,abl_char_title,0.7299651567944251,0.6558441451587191,0.8440860215053764,0.8351063829787234,0.8532608695652174
2,0,abl_word_tb,0.7700348432055749,0.7106754395826596,0.8534704370179949,0.8097560975609757,0.9021739130434783
2,0,abl_char_tb_bk,0.7543554006968641,0.6994695672035791,0.8525469168900804,0.8412698412698413,0.8641304347826086
2,1,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
2,1,base_random,0.21428571428571427,0.19893073659840302,0.25418060200668896,0.33043478260869563,0.20652173913043478
2,1,base_keyword,0.3362369337979094,0.18238788797668778,0.5434173669467787,0.5606936416184971,0.5271739130434783
2,1,proposed_char_tb,0.7717770034843205,0.7411378574991914,0.8623376623376623,0.8258706467661692,0.9021739130434783
2,1,proposed@산업,0.8454106280193237,0.7528750319447994,0.9230769230769231,,
2,1,proposed@안보,0.6987951807228916,0.6830656659835124,0.5454545454545454,,
2,1,proposed@비CBRN,0.7562189054726368,0.7105289005201769,0.8397790055248618,,
2,1,abl_char_title,0.735191637630662,0.6934118064233439,0.835509138381201,0.8040201005025126,0.8695652173913043
2,1,abl_word_tb,0.7560975609756098,0.6870060971820517,0.8571428571428571,0.8208955223880597,0.8967391304347826
2,1,abl_char_tb_bk,0.7630662020905923,0.7379795615959633,0.859375,0.825,0.8967391304347826
2,2,base_majority,0.32111692844677137,0.09722589167767504,0.4861294583883752,0.32111692844677137,1.0
2,2,base_random,0.2181500872600349,0.19988034655421028,0.2602739726027397,0.35185185185185186,0.20652173913043478
2,2,base_keyword,0.31413612565445026,0.16696870026525198,0.46684350132625996,0.45595854922279794,0.4782608695652174
2,2,proposed_char_tb,0.7801047120418848,0.7206497830705909,0.8739946380697051,0.8624338624338624,0.8858695652173914
2,2,proposed@산업,0.85,0.7712598545906874,0.896969696969697,,
2,2,proposed@안보,0.6789473684210526,0.5140713780204227,0.4,,
2,2,proposed@비CBRN,0.812807881773399,0.7508510638297872,0.9042553191489362,,
2,2,abl_char_title,0.7155322862129145,0.6295323780617899,0.8486486486486486,0.8440860215053764,0.8532608695652174
2,2,abl_word_tb,0.7556719022687609,0.6862266930239197,0.870026525198939,0.8497409326424871,0.8913043478260869
2,2,abl_char_tb_bk,0.7417102966841187,0.6775780544391361,0.8594594594594595,0.8548387096774194,0.8641304347826086
2,3,base_majority,0.3228621291448517,0.09762532981530343,0.48812664907651715,0.3228621291448517,1.0
2,3,base_random,0.2094240837696335,0.1937522857972917,0.25675675675675674,0.34234234234234234,0.20540540540540542
2,3,base_keyword,0.32460732984293195,0.17408729652768923,0.510752688172043,0.5080213903743316,0.5135135135135135
2,3,proposed_char_tb,0.7853403141361257,0.7375877200086594,0.84593837535014,0.877906976744186,0.8162162162162162
2,3,proposed@산업,0.8502673796791443,0.7314750771805987,0.9202453987730062,,
2,3,proposed@안보,0.7315789473684211,0.6513995091097895,0.42424242424242425,,
2,3,proposed@비CBRN,0.7755102040816326,0.7189610389610389,0.8571428571428571,,
2,3,abl_char_title,0.7574171029668412,0.6943271355902156,0.8225352112676056,0.8588235294117647,0.7891891891891892
2,3,abl_word_tb,0.7643979057591623,0.6941630372441574,0.8401084010840109,0.842391304347826,0.8378378378378378
2,3,abl_char_tb_bk,0.7731239092495636,0.713189777825058,0.8287292817679558,0.847457627118644,0.8108108108108109
2,4,base_majority,0.3228621291448517,0.09762532981530343,0.48812664907651715,0.3228621291448517,1.0
2,4,base_random,0.19720767888307156,0.18130226937229044,0.2013888888888889,0.2815533980582524,0.15675675675675677
2,4,base_keyword,0.32809773123909247,0.1754217273954116,0.5208333333333334,0.5025125628140703,0.5405405405405406
2,4,proposed_char_tb,0.7364746945898778,0.6730190205704731,0.8356545961002786,0.8620689655172413,0.8108108108108109
2,4,proposed@산업,0.8082901554404145,0.6918913177405306,0.8846153846153846,,
2,4,proposed@안보,0.6348314606741573,0.48978635860104447,0.4,,
2,4,proposed@비CBRN,0.7574257425742574,0.6971747087600746,0.8809523809523809,,
